"","SiteID","Species","Group","germ.rate.total","surv.rate.total","estab.rate.total","germ.rate.total.logit","surv.rate.total.logit","estab.rate.total.logit","germ.rate.spring","surv.rate.spring","germ.rate.spring.logit","surv.rate.spring.logit","germination.total","potential.germ.total","survival.total","damage.any","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","month","temp.soil.mean","temp.soil.min","temp.soil.max","temp.soil.se","temp.ground.mean","temp.ground.min","temp.ground.max","temp.ground.se","temp.air.mean","temp.air.min","temp.air.max","temp.air.se","date"
"376","CR10","pico","W",0.1,0,0,-2.12525107771113,-4.77912349311153,-4.77912349311153,0.08,1,-2.35082776194038,4.77912349311153,5,50,0,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",9,12.4632725694444,7,21.44,0.104061430922661,12.8637673611111,-0.06,35.75,0.284777010950863,12.3735329861111,-0.75,32.88,0.274125313003123,NA
"377","CR10","psme","W",0.06,0.333,0.02,-2.62839245782422,-0.682142290777539,-3.54715129428523,0.06,0.333,-2.62839245782422,-0.682142290777539,3,50,1,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",6,16.45375,8.31,27.5,0.245090237046291,16.1665,-1.25,39.5,0.5922047311805,14.8472291666667,-2.12,35.94,0.552878167081739,NA
"378","CR10","psme","W",0.06,0.333,0.02,-2.62839245782422,-0.682142290777539,-3.54715129428523,0.06,0.333,-2.62839245782422,-0.682142290777539,3,50,1,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",7,16.6029301075269,8.38,28.25,0.0901156205721115,16.4158635752688,-0.88,41.12,0.213279496331066,15.3178494623656,-1.88,37.44,0.200489183542658,NA
"379","CR10","psme","W",0.06,0.333,0.02,-2.62839245782422,-0.682142290777539,-3.54715129428523,0.06,0.333,-2.62839245782422,-0.682142290777539,3,50,1,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",8,15.1663071236559,6.44,26.25,0.0822499177194756,14.9543951612903,-2.81,41.38,0.20201671849898,14.1768380376344,-3.94,37.19,0.192275021157062,NA
"380","CR10","psme","W",0.06,0.333,0.02,-2.62839245782422,-0.682142290777539,-3.54715129428523,0.06,0.333,-2.62839245782422,-0.682142290777539,3,50,1,0,40.46,2291.218746,-1.13975491,"concave",7.469630928,3.324239502,"low",319.9211703,"NW",9,12.4632725694444,7,21.44,0.104061430922661,12.8637673611111,-0.06,35.75,0.284777010950863,12.3735329861111,-0.75,32.88,0.274125313003123,NA
"381","CR11","pico","C",0.16,0,0,-1.61665526533514,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,8,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"382","CR11","pico","C",0.16,0,0,-1.61665526533514,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,8,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"383","CR11","pico","C",0.16,0,0,-1.61665526533514,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,8,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"384","CR11","pico","C",0.16,0,0,-1.61665526533514,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,8,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"385","CR11","psme","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"386","CR11","psme","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"387","CR11","psme","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"388","CR11","psme","C",0.02,0,0,-3.54715129428523,-4.77912349311153,-4.77912349311153,0.02,1,-3.54715129428523,4.77912349311153,1,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"389","CR11","pico","E",0.2,0,0,-1.35533213551592,-4.77912349311153,-4.77912349311153,0.2,0,-1.35533213551592,-4.77912349311153,10,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"390","CR11","pico","E",0.2,0,0,-1.35533213551592,-4.77912349311153,-4.77912349311153,0.2,0,-1.35533213551592,-4.77912349311153,10,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"391","CR11","pico","E",0.2,0,0,-1.35533213551592,-4.77912349311153,-4.77912349311153,0.2,0,-1.35533213551592,-4.77912349311153,10,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"392","CR11","pico","E",0.2,0,0,-1.35533213551592,-4.77912349311153,-4.77912349311153,0.2,0,-1.35533213551592,-4.77912349311153,10,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"393","CR11","psme","E",0.18,0,0,-1.4806230260409,-4.77912349311153,-4.77912349311153,0.18,0.667,-1.4806230260409,0.682142290777538,9,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"394","CR11","psme","E",0.18,0,0,-1.4806230260409,-4.77912349311153,-4.77912349311153,0.18,0.667,-1.4806230260409,0.682142290777538,9,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
"395","CR11","psme","E",0.18,0,0,-1.4806230260409,-4.77912349311153,-4.77912349311153,0.18,0.667,-1.4806230260409,0.682142290777538,9,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",8,18.8037130376344,8.69,32.88,0.104758893121115,16.987688172043,-0.94,46.38,0.223336349329042,15.4310315860215,-2.75,39.25,0.202340195641925,NA
"396","CR11","psme","E",0.18,0,0,-1.4806230260409,-4.77912349311153,-4.77912349311153,0.18,0.667,-1.4806230260409,0.682142290777538,9,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",9,14.8104861111111,9.5,23.81,0.10709805872953,14.2413802083333,1.12,39.62,0.301904168966743,13.2987326388889,-0.25,34.5,0.287029168620587,NA
"397","CR11","pico","N",0.14,0,0,-1.76632457208023,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,7,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",6,20.1133541666667,11.25,32.62,0.279635699264596,18.9977916666667,-0.06,43.56,0.676000457256803,15.8441458333333,-1.5,36.38,0.577377472902406,NA
"398","CR11","pico","N",0.14,0,0,-1.76632457208023,-4.77912349311153,-4.77912349311153,0.14,0.143,-1.76632457208023,-1.74286020209469,7,50,0,0,11.6,2296.530443,-3.232536723,"concave",8.715095104,4.441708408,"low",262.0325061,"W",7,20.0534442204301,10.31,34.62,0.107768591981716,18.7799865591398,0.62,46.69,0.244581290443998,16.5486794354839,-0.94,39,0.213774375269763,NA
