"","SiteID","Group","Species","Row","Column","germination.spring","germination.fall.new","germ.any","survival.spring","survival.fall","surv.any","tray.damage.spring","tray.damage.fall","damage.any","nodamage.any","dead.germinant.fall","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","site.type"
"65","CR01","S","pico","A",5,1,0,1,1,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"66","CR01","S","pico","A",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"67","CR01","S","pico","A",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"68","CR01","S","pico","A",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"69","CR01","S","pico","A",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"70","CR01","S","pico","A",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"71","CR01","S","psme","A",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"72","CR01","S","psme","A",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"73","CR01","S","psme","A",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"74","CR01","S","psme","A",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"75","CR01","S","psme","A",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"76","CR01","S","psme","A",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"77","CR01","S","psme","A",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"78","CR01","S","psme","A",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"79","CR01","S","psme","A",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
